Subj Ses Group Intake Batch Sex Age InputFile
sub-14 ses-T1 Alc Low B1 male 46 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-14/sub-14_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-16 ses-T1 Alc Low B1 male 46 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-16/sub-16_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-17 ses-T1 Alc High B2 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-17/sub-17_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-18 ses-T1 Alc Low B2 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-18/sub-18_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-19 ses-T1 Alc Low B2 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-19/sub-19_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-1 ses-T1 Alc Low B1 female 47 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-1/sub-1_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-20 ses-T1 Alc Low B2 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-20/sub-20_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-22 ses-T1 Alc Low B2 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-22/sub-22_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-24 ses-T1 Alc High B2 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-24/sub-24_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-25 ses-T1 Alc Low B2 male 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-25/sub-25_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-26 ses-T1 Alc High B2 male 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-26/sub-26_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-29 ses-T1 Alc High B2 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-29/sub-29_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-2 ses-T1 Alc Low B1 female 47 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-2/sub-2_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-30 ses-T1 Alc Low B2 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-30/sub-30_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-32 ses-T1 Alc Low B2 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-32/sub-32_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-33 ses-T1 Alc Low B3 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-33/sub-33_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-35 ses-T1 Alc Low B3 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-35/sub-35_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-36 ses-T1 Alc Low B3 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-36/sub-36_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-37 ses-T1 Alc Low B3 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-37/sub-37_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-38 ses-T1 Alc Low B3 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-38/sub-38_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-39 ses-T1 Alc Low B3 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-39/sub-39_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-41 ses-T1 Alc High B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-41/sub-41_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-42 ses-T1 Alc Low B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-42/sub-42_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-43 ses-T1 Alc Low B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-43/sub-43_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-45 ses-T1 Alc High B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-45/sub-45_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-47 ses-T1 Alc Low B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-47/sub-47_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-48 ses-T1 Alc Low B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-48/sub-48_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-4 ses-T1 Alc High B1 female 47 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-4/sub-4_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-50 ses-T1 Alc Low B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-50/sub-50_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-51 ses-T1 Alc Low B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-51/sub-51_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-53 ses-T1 Alc High B4 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-53/sub-53_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-56 ses-T1 Alc Low B4 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-56/sub-56_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-61 ses-T1 Alc Low B4 male 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-61/sub-61_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-69 ses-T1 Alc Low B5 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-69/sub-69_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-6 ses-T1 Alc Low B1 female 47 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-6/sub-6_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-76 ses-T1 Alc Low B5 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-76/sub-76_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-77 ses-T1 Alc Low B5 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-77/sub-77_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-7 ses-T1 Alc Low B1 female 48 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-7/sub-7_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-85 ses-T1 Alc High B5 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-85/sub-85_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-88 ses-T1 Alc Low B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-88/sub-88_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-8 ses-T1 Alc Low B1 female 48 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-8/sub-8_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-94 ses-T1 Alc Low B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-94/sub-94_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-97 ses-T1 Alc Low B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-97/sub-97_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-99 ses-T1 Alc Low B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-99/sub-99_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-9 ses-T1 Alc Low B1 male 48 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Alc/sub-9/sub-9_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-100 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-100/sub-100_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-102 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-102/sub-102_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-104 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-104/sub-104_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-105 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-105/sub-105_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-106 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-106/sub-106_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-108 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-108/sub-108_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-109 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-109/sub-109_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-111 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-111/sub-111_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-112 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-112/sub-112_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-116 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-116/sub-116_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-121 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-121/sub-121_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-126 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-126/sub-126_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-127 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-127/sub-127_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-129 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-129/sub-129_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-131 ses-T1 Ctrl Ctrl B6 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-131/sub-131_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-15 ses-T1 Ctrl Ctrl B1 male 46 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-15/sub-15_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-21 ses-T1 Ctrl Ctrl B2 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-21/sub-21_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-23 ses-T1 Ctrl Ctrl B2 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-23/sub-23_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-31 ses-T1 Ctrl Ctrl B2 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-31/sub-31_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-3 ses-T1 Ctrl Ctrl B1 female 47 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-3/sub-3_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-40 ses-T1 Ctrl Ctrl B3 female 46 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-40/sub-40_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-44 ses-T1 Ctrl Ctrl B3 male 46 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-44/sub-44_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-46 ses-T1 Ctrl Ctrl B3 male 46 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-46/sub-46_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-49 ses-T1 Ctrl Ctrl B3 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-49/sub-49_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
